timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier
2026-04-21T17:52:47.808616+00:00,KXBTC-26APR2117-B75125,yes,0.1000,0.7853,6.8533,1.7,3.12,KXBTC,75125.0,75800.34,2026-04-21T21:00:00+00:00,2
2026-04-21T18:09:32.082870+00:00,KXETH-26APR2115-B2280,yes,0.1000,0.9500,8.5000,2.4,0.84,KXETH,2280.0,2306.78,2026-04-21T19:00:00+00:00,2
2026-04-21T18:25:27.218551+00:00,KXBTC-26APR2117-B74875,yes,0.1100,0.7702,6.0020,1.0,2.58,KXBTC,74875.0,75446.91,2026-04-21T21:00:00+00:00,2
