timestamp,ticker,side,crowd_prob,model_prob,ev,position_usd,hours_to_close,family,strike,spot_price,close_time,tier,resolved_yes,resolved_no,won,pnl_usd,exit_type
2026-04-07T19:40:50.843962,KXBTC-26APR0721-B72150,no,0.9000,0.9094,0.0104,2.11,0.32,KXBTC,72150.0,71859.00,2026-04-08T01:00:00Z,,0,1,1,0.23,expiry
2026-04-07T19:40:50.844980,KXBTC-26APR0721-B71750,no,0.9000,0.9094,0.0104,2.11,0.32,KXBTC,71750.0,71859.00,2026-04-08T01:00:00Z,,0,1,1,0.23,expiry
2026-04-07T19:43:58.469111,KXBTC-26APR0721-B72050,no,0.8500,0.8744,0.0287,3.66,0.27,KXBTC,72050.0,71962.00,2026-04-08T01:00:00Z,,0,1,1,0.65,expiry
2026-04-07T19:44:10.539110,KXETH-26APR0721-B2250,no,0.8900,0.9020,0.0135,2.45,0.26,KXETH,2250.0,2241.19,2026-04-08T01:00:00Z,,0,1,1,0.3,expiry
2026-04-07T19:44:10.539793,KXBTC-26APR0721-B71650,no,0.9000,0.9094,0.0104,2.11,0.26,KXBTC,71650.0,71962.00,2026-04-08T01:00:00Z,,1,0,0,-2.11,expiry
2026-04-07T19:45:12.746791,KXBTC-26APR0721-B71950,no,0.8500,0.8744,0.0287,3.66,0.25,KXBTC,71950.0,,2026-04-08T01:00:00Z,,0,1,1,0.65,expiry
2026-04-07T19:46:14.779582,KXBTC-26APR0721-B71550,no,0.8700,0.8884,0.0211,3.18,0.23,KXBTC,71550.0,,2026-04-08T01:00:00Z,,0,1,1,0.48,expiry
2026-04-07T19:47:17.039491,KXBTC-26APR0721-B71850,no,0.8900,0.9024,0.0139,2.54,0.21,KXBTC,71850.0,71838.00,2026-04-08T01:00:00Z,,0,1,1,0.31,expiry
2026-04-07T19:50:22.525067,KXBTC-26APR0721-B71450,no,0.8900,0.9024,0.0139,2.54,0.16,KXBTC,71450.0,,2026-04-08T01:00:00Z,,0,1,1,0.31,expiry
2026-04-07T19:40:50.846103,KXETH-26APR0817-B2280,no,0.8600,0.8790,0.0221,3.05,20.32,KXETH,2280.0,2237.22,2026-04-08T21:00:00Z,,,0,1,0,expiry
2026-04-07T19:40:50.846678,KXETH-26APR0817-B2200,no,0.8500,0.8720,0.0259,3.3,20.32,KXETH,2200.0,2237.22,2026-04-08T21:00:00Z,,,0,1,0,expiry
